Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains
1994-01-21,47.53125,47.53125,47.34375,47.375,26.652854919433594,85600,0.0,0.0,0.0
1994-01-24,47.34375,47.5625,47.1875,47.1875,26.547359466552734,373800,0.0,0.0,0.0
1994-01-25,47.21875,47.25,47.09375,47.1875,26.547359466552734,310400,0.0,0.0,0.0
1994-01-26,47.1875,47.34375,47.125,47.3125,26.617673873901367,145100,0.0,0.0,0.0
1994-01-27,47.40625,47.8125,47.34375,47.75,26.863801956176758,344500,0.0,0.0,0.0
1994-01-28,47.9375,48.03125,47.875,47.875,26.934141159057617,356500,0.0,0.0,0.0
1994-01-31,48.0625,48.3125,48.0,48.21875,27.12752342224121,313800,0.0,0.0,0.0
1994-02-01,48.15625,48.15625,47.90625,47.96875,26.98689842224121,303600,0.0,0.0,0.0
1994-02-02,48.125,48.28125,48.09375,48.28125,27.162687301635742,307600,0.0,0.0,0.0
1994-02-03,48.1875,48.1875,47.90625,48.0625,27.039627075195312,466100,0.0,0.0,0.0
1994-02-04,48.0625,48.125,46.96875,46.96875,26.424297332763672,1403200,0.0,0.0,0.0
1994-02-07,46.84375,47.3125,46.84375,47.1875,26.547359466552734,516400,0.0,0.0,0.0
1994-02-08,47.28125,47.28125,47.03125,47.21875,26.564945220947266,188200,0.0,0.0,0.0
1994-02-09,47.25,47.4375,47.1875,47.40625,26.670429229736328,144600,0.0,0.0,0.0
1994-02-10,47.375,47.40625,47.0,47.0,26.441865921020508,883900,0.0,0.0,0.0
1994-02-11,47.03125,47.28125,46.8125,47.15625,26.529766082763672,519400,0.0,0.0,0.0
1994-02-14,47.0625,47.375,47.0,47.21875,26.564945220947266,2742100,0.0,0.0,0.0
1994-02-15,47.3125,47.5,47.25,47.46875,26.705596923828125,374700,0.0,0.0,0.0
1994-02-16,47.53125,47.53125,47.34375,47.4375,26.688011169433594,287600,0.0,0.0,0.0
1994-02-17,47.65625,47.6875,47.03125,47.15625,26.529766082763672,342400,0.0,0.0,0.0
1994-02-18,47.1875,47.21875,46.75,46.875,26.37154769897461,313300,0.0,0.0,0.0
